"Timestamp","What is your University?","What is your Studying Degree Programme?","Do you wish to do higher studies?","Place interest to work","How far should you hope live from work?","Expecting salary range?","Wish to work sector?","Wish to work industry field?","Wish to work industry field job?","In a Department which  position would u prefer?"
"2018/08/29 12:09:03 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Mathematics","Maybe","abroad","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","other"
"2018/08/29 12:09:40 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Mathematics","No","Home country","Less than 5 km","Rs.50 000 to 100 000","Private","IT","Data Scientist","assistant head"
"2018/08/29 12:10:10 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Mathematics","No","abroad","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","group leader"
"2018/08/29 12:10:45 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Mathematics","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Goverment","IT","Software Engineer","group leader"
"2018/08/29 12:11:22 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Mathematics","Yes","Home country","10 km to 30 km","Rs.100 000 to 150 000","Private","Engineering","Software Engineer","assistant head"
"2018/08/29 12:11:56 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Mathematics","Maybe","abroad","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","other"
"2018/08/29 12:12:34 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Mathematics","No","Home country","5 km to 10 km","Rs.50 000 to 100 000","Goverment","Education","Lecturer","other"
"2018/08/29 1:34:47 AM GMT+5:30","University of Colombo","Bsc in  physical science","Yes","abroad","Geater than 30 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","group leader"
"2018/08/29 1:34:53 AM GMT+5:30","University of Colombo","Bsc in  physical science","Yes","abroad","Geater than 30 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","group leader"
"2018/08/29 1:36:11 AM GMT+5:30","University of Colombo"," Bsc(hons) in computer science ","Yes","abroad","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","group leader"
"2018/08/29 1:37:36 AM GMT+5:30","University of Colombo","Bsc (hons) in computer science ","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","assistant head"
"2018/08/29 1:38:47 AM GMT+5:30","University of Colombo","Bsc(hons) in computer science ","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","Banking and Accounting","Data Scientist","group leader"
"2018/08/29 1:39:54 AM GMT+5:30","University of Colombo","Bsc (hons) in computer science ","Yes","abroad","Less than 5 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","group leader"
"2018/08/29 1:40:39 AM GMT+5:30","University of Colombo","Bsc (hons)in computer science ","Yes","abroad","Less than 5 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","group leader"
"2018/08/29 5:48:29 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Maybe","abroad","Less than 5 km","Geater than Rs. 150 000","Private","IT","Software Engineer","assistant head"
"2018/08/29 5:49:09 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Yes","abroad","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Software Engineer","group leader"
"2018/08/29 5:49:40 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Maybe","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","group leader"
"2018/08/29 5:50:08 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","No","Home country","Less than 5 km","Rs.100 000 to 150 000","Goverment","IT","Software Engineer","assistant head"
"2018/08/29 5:50:44 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Maybe","Home country","Less than 5 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","group leader"
"2018/08/29 5:51:13 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","No","Home country","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","head"
"2018/08/29 5:51:38 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Yes","abroad","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Software Engineer","head"
"2018/08/29 5:52:08 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Yes","abroad","Less than 5 km","Geater than Rs. 150 000","Private","IT","Software Engineer","assistant head"
"2018/08/29 5:52:37 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Yes","abroad","Less than 5 km","Geater than Rs. 150 000","Private","IT","Software Engineer","group leader"
"2018/08/29 5:53:01 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","No","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","group leader"
"2018/08/29 5:53:26 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","No","Home country","Less than 5 km","Rs.50 000 to 100 000","Goverment","IT","Software Engineer","assistant head"
"2018/08/29 5:54:12 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","No","abroad","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","group leader"
"2018/08/29 5:54:40 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","No","Home country","Less than 5 km","Rs.50 000 to 100 000","Goverment","IT","Software Engineer","head"
"2018/08/29 5:55:35 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Yes","abroad","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","group leader"
"2018/08/29 5:56:05 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","No","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","assistant head"
"2018/08/29 5:56:28 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","No","abroad","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","head"
"2018/08/29 5:56:53 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Maybe","Home country","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","other"
"2018/08/29 5:57:23 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Maybe","Home country","Less than 5 km","Rs.100 000 to 150 000","Goverment","IT","Software Engineer","group leader"
"2018/08/29 5:57:54 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Maybe","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","assistant head"
"2018/08/29 5:58:26 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Yes","abroad","Less than 5 km","Geater than Rs. 150 000","Private","IT","Data Scientist","other"
